campaign_id,campaign_name,sending_date,subject,sent,non_delivered_rate,total_opens,opens,trackable_open_rate,apple_mpp_opens,total_clicked,clicked,click_rate,click_to_open_rate,unsubscription_rate,delivered_rate,hard_bounces_rate,soft_bounces_rate,complaints_rate,year,month,day,weekday,tipo_campaña,tipo_publico
5,resumen webinar engira!,2024-12-04,resumen webinar engira!,103,0.0,247,87,84.47,19,34,19,18.45,27.94,0.0,100.0,0.0,0.0,0.0,2024,12,4,2,formacion,artistas
6,artistas catálogo,2024-10-23,participación piloto engira!,3,0.0,13,3,100.0,0,3,1,33.33,33.33,0.0,100.0,0.0,0.0,0.0,2024,10,23,2,promocion,artistas
8,artistas seleccionados,2024-10-29,artistas seleccionados,38,5.26,773,44,100.0,9,99,32,88.89,91.43,0.0,94.74,0.0,5.26,0.0,2024,10,29,1,otros,artistas
10,artistas toolkit,2024-10-28,participación piloto engira​!,122,4.1,974,134,100.0,33,199,70,59.83,69.31,0.0,95.9,1.64,2.46,0.82,2024,10,28,0,promocion,artistas
12,recordatorio,2024-10-29,participación piloto engira!,24,4.17,214,27,100.0,5,25,12,52.17,54.55,0.0,95.83,0.0,4.17,0.0,2024,10,29,1,promocion,all
15,invitación piloto engira! programadores,2024-11-05,programa piloto engira!,89,12.36,12,10,12.82,2,1,1,1.28,12.5,0.0,87.64,5.62,6.74,0.0,2024,11,5,1,promocion,programadores
18,invitación piloto programadores madrid/galicia/andalucía,2024-11-05,programa piloto engira!,163,11.04,73,30,20.69,6,15,10,6.9,41.67,0.0,88.96,3.68,7.36,0.0,2024,11,5,1,promocion,programadores
19,invitación piloto porgramadores extremadura-cantabria,2024-11-06,programa piloto engira!,98,28.57,18,12,17.14,4,0,0,0.0,0.0,0.0,71.43,10.2,18.37,0.0,2024,11,6,2,promocion,all
20,invitación piloto programadores cataluña,2024-11-06,programa piloto engira!,189,17.46,112,50,32.05,12,13,8,5.13,21.05,1.92,82.54,3.17,14.29,0.0,2024,11,6,2,promocion,programadores
22,confirmación jornadas,2024-11-08,jornadas engira!,13,0.0,73,16,100.0,4,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2024,11,8,4,jornadas,all
28,convocatorias,2024-11-20,no te pierdas estas convocatorias!,94,1.06,317,95,100.0,22,88,39,41.94,53.42,0.0,98.94,0.0,1.06,0.0,2024,11,20,2,convocatorias,artistas
36,webinar 3 de dic,2024-11-26,webinar engira! 3 de diciembre,96,1.04,339,94,98.95,22,28,25,26.32,34.72,0.0,98.96,0.0,1.04,0.0,2024,11,26,1,formacion,artistas
39,jornadas de internacionalización y movilidad de artistas 1,2024-11-26,jornadas de internacionalización y movilidad de artistas!,55,0.0,59,37,67.27,4,2,2,3.64,6.06,1.82,100.0,0.0,0.0,0.0,2024,11,26,1,jornadas,artistas
42,artista destacado,2024-11-25,artista destacado,14,0.0,147,17,100.0,3,1,1,7.14,7.14,0.0,100.0,0.0,0.0,0.0,2024,11,25,0,otros,all
44,jornadas de internacionalización y movilidad de artistas y recordatorio piloto-2,2024-11-26,jornadas de internacionalización y movilidad de artistas,32,0.0,29,17,53.13,1,4,1,3.13,6.25,0.0,100.0,0.0,0.0,0.0,2024,11,26,1,jornadas,artistas
48,invitación piloto engira! programadores,2024-11-27,invitación piloto engira!,204,12.75,61,41,23.03,5,5,2,1.12,5.56,0.56,87.25,10.78,1.96,0.0,2024,11,27,2,promocion,programadores
49,recordatorio webinar,2024-12-02,recordatorio webinar engira!,97,0.0,249,92,94.85,19,9,8,8.25,10.96,0.0,100.0,0.0,0.0,0.0,2024,12,2,0,formacion,artistas
51,nuevas convocatorias,2024-12-11,nuevas convocatorias!,98,1.02,295,100,100.0,21,89,42,43.3,53.16,0.0,98.98,0.0,1.02,0.0,2024,12,11,2,convocatorias,artistas
55,fin del programa piloto artistas,2024-12-16,fin del programa piloto engira!​,104,0.0,368,99,95.19,23,25,20,19.23,26.32,0.0,100.0,0.0,0.0,0.0,2024,12,16,0,promocion,artistas
56,fin del programa piloto engira / programadores!,2024-12-16,fin del programa piloto engira!​,17,5.88,31,11,68.75,3,2,2,12.5,25.0,0.0,94.12,0.0,5.88,0.0,2024,12,16,0,promocion,programadores
57,newsletter artistas enero 25,2025-01-08,convocatorias abiertas,154,0.65,557,167,100.0,35,220,74,48.37,56.06,0.65,99.35,0.0,0.65,0.0,2025,1,8,2,convocatorias,artistas
59,plataforma pleno funcionamiento_programadores,2025-01-09,descubre artistas y conecta con ellos,96,6.25,33,23,25.56,4,6,4,4.44,21.05,1.11,93.75,3.13,3.13,0.0,2025,1,9,3,promocion,programadores
60,plataforma pleno funcionamiento_programadores cyl+clm,2025-01-13,descubre nuevos artistas escénicos de creación contemporánea,182,2.2,59,42,23.6,6,9,5,2.81,13.89,0.0,97.8,0.0,2.2,0.0,2025,1,13,0,promocion,programadores
65,plataforma pleno funcionamiento_programadores,2025-01-13,descubre nuevos artistas escénicos,118,11.86,65,42,40.38,0,11,8,7.69,19.05,0.0,88.14,11.02,0.85,0.0,2025,1,13,0,promocion,programadores
66,plataforma pleno funcionamiento_programadores_ext_mur_cant,2025-01-14,descubre nuevos artistas escénicos,203,6.9,67,51,26.98,9,9,8,4.23,19.05,0.0,93.1,2.96,3.94,0.0,2025,1,14,1,promocion,programadores
67,plataforma pleno funcionamiento_programadores cat_copy,2025-01-16,descobreix nous artistes escènics de creació contemporània,182,1.65,104,61,34.08,18,17,16,8.94,37.21,0.56,98.35,0.0,1.65,0.0,2025,1,16,3,promocion,programadores
69,convocatorias + demo - 4º envío,2025-02-10,"nuevas convocatorias y una ""demo""",153,0.65,535,162,100.0,36,199,62,40.79,49.21,0.0,99.35,0.0,0.65,0.0,2025,2,10,0,convocatorias,artistas
